date,ITUB4,LREN3,MGLU3,TTEN3,VALE3,soma,evolucao_patrimonial,evolucao_percentual,evolucao_cum
2022-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-07-22,-112834.74999999999,0.0,0.0,0.0,0.0,-112834.74999999999,0.0,-0.0,1.0
2022-07-25,-114484.1,0.0,0.0,0.0,0.0,-114484.1,-1649.3500000000204,0.014406804088952268,1.0144068040889522
2022-07-26,-113853.46,0.0,0.0,0.0,0.0,-113853.46,630.6399999999994,-0.00553904993313334,1.0087879541485933
2022-07-27,-114241.545,0.0,0.0,0.0,0.0,-114241.545,-388.08499999999185,0.003397056648699839,1.012214863975362
2022-07-28,-114969.205,0.0,0.0,0.0,0.0,-114969.205,-727.6600000000035,0.006329173103354098,1.0186213470672503
2022-07-29,-114581.125,0.0,0.0,0.0,0.0,-114581.125,388.08000000000175,-0.0033869452756726008,1.0151713323081015
2022-08-01,-113925.805,0.0,0.0,0.0,0.0,-113925.805,655.320000000007,-0.005752164753191843,1.009331899551948
2022-08-02,-115139.33,0.0,0.0,0.0,0.0,-115139.33,-1213.5250000000087,0.0105396218650917,1.0199698761096003
2022-08-03,-115964.53,0.0,0.0,0.0,0.0,-115964.53,-825.1999999999971,0.007115968995002154,1.0272279501238324
2022-08-04,-118779.91,0.0,0.0,0.0,0.0,-118779.91,-2815.3800000000047,0.023702493123626753,1.0515758135480398
2022-08-05,-121012.79999999999,0.0,0.0,0.0,0.0,-121012.79999999999,-2232.889999999985,0.018451684449909307,1.070979158634785
2022-08-08,-122517.575,0.0,0.0,0.0,0.0,-122517.575,-1504.7750000000087,0.012282115443437472,1.0841330482986529
2022-08-09,-125721.28,0.0,0.0,0.0,0.0,-125721.28,-3203.7050000000017,0.025482599286294268,1.1117595763414763
2022-08-10,-128051.245,0.0,0.0,0.0,0.0,-128051.245,-2329.9649999999965,0.018195566938845432,1.1319886721327
2022-08-11,-128245.41500000001,0.0,0.0,0.0,0.0,-128245.41500000001,-194.1700000000128,0.0015140502293981644,1.1337025598414185
2022-08-12,-129798.73,0.0,0.0,0.0,0.0,-129798.73,-1553.3149999999878,0.011967104762889343,1.1472696971449965
2022-08-15,-130915.165,0.0,0.0,0.0,0.0,-130915.165,-1116.4349999999977,0.0085279272267655,1.1570535296317224
2022-08-16,-132225.78,0.0,0.0,0.0,0.0,-132225.78,-1310.6150000000052,0.009911947579360132,1.1685221835639457
2022-08-17,-132759.73,0.0,0.0,0.0,0.0,-132759.73,-533.9500000000116,0.004021927432362295,1.1732218949893454
2022-08-18,-132371.405,0.0,0.0,0.0,0.0,-132371.405,388.32500000001164,-0.002933601860613413,1.1697801290552923
2022-08-19,-130560.69,0.0,0.0,0.0,0.0,-130560.69,1810.7149999999965,-0.013868760957069057,1.1535567280730952
